helyezes;cím;év;idő;műfaj
1.;Négyszáz csapás;1959;99 min;Crime, Drama
2.;A gyűlölet;1995;98 min;Crime, Drama
3.;A keresztapa;1972;175 min;Crime, Drama
4.;A keresztapa II;1974;202 min;Crime, Drama
5.;Veled is megtörténhet;1992;95 min;Comedy, Crime, Drama
6.;A tégla;2006;151 min;Crime, Drama, Thriller
7.;A sorompók lezárulnak;1952;89 min;Drama
8.;Fehér izzás;1949;114 min;Action, Crime, Drama
9.;Eddie Murphy Show;1987;93 min;Documentary, Comedy
10.;Nyugaton a helyzet változatlan;1930;152 min;Drama, War
11.;Kacsaleves;1933;69 min;Comedy, Musical
12.;A maffia parancsára;1962;105 min;Comedy, Crime, Drama
13.;A 17-es fogolytábor;1953;120 min;Comedy, Drama, War
14.;A remény rabjai;1994;142 min;Drama
15.;A sötét lovag;2008;152 min;Action, Crime, Drama
16.;Harcosok klubja;1999;139 min;Drama
17.;Batman: Kezdődik!;2005;140 min;Action, Crime, Drama
18.;A nagy Lebowski;1998;117 min;Comedy, Crime
19.;Blöff;2000;104 min;Comedy, Crime
20.;A Jó, a Rossz és a Csúf;1966;161 min;Adventure, Western
21.;Gladiátor;2000;155 min;Action, Adventure, Drama
22.;Ryan közlegény megmentése;1998;169 min;Drama, War
23.;Amélie csodálatos élete;2001;122 min;Comedy, Romance
24.;Amerikai história X;1998;119 min;Crime, Drama
25.;Erőszakik;2008;107 min;Comedy, Crime, Drama
26.;Ütközések;2004;112 min;Crime, Drama, Thriller
27.;Nagy hal;2003;125 min;Adventure, Drama, Fantasy
28.;A hét szamuráj;1954;207 min;Action, Drama
29.;Torta;2004;105 min;Action, Crime, Drama
30.;Amerikába jöttem;1988;117 min;Comedy, Romance
31.;Ó, testvér, merre visz az utad?;2000;107 min;Adventure, Comedy, Crime
32.;Végre péntek;1995;91 min;Comedy, Drama
33.;Fedőneve: Donnie Brasco;1997;127 min;Biography, Crime, Drama
34.;Dühöngő bika;1980;129 min;Biography, Drama, Sport
35.;Ed Wood;1994;127 min;Biography, Comedy, Drama
36.;Legbelső félelem;1996;129 min;Crime, Drama, Mystery
37.;Félbetépve;1998;82 min;Comedy, Crime
38.;Baseball álmok;1989;107 min;Drama, Family, Fantasy
39.;Csak egy kis pánik;1999;103 min;Comedy, Crime
40.;Aljas utcák;1973;112 min;Crime, Drama, Thriller
41.;A piszkos tizenkettő;1967;150 min;Action, Adventure, War
42.;A leghosszabb nap;1962;178 min;Action, Drama, History
43.;Combat de boxe;1927;8 min;Short, Sport
44.;Szerencsétlen flótás;1961;92 min;Comedy, Family
45.;Lökött londiner;1960;72 min;Comedy
46.;Six Shooter;2004;27 min;Short, Comedy, Drama
47.;CKY2K;2000;63 min;Comedy, Documentary, Action
48.;The Dark Hours;2005;80 min;Horror, Thriller
49.;Edmond;2005;82 min;Drama, Thriller
50.;Az igazság malmai;1991;115 min;Crime, Drama, History
51.;Őrült Johnny;2008;98 min;Drama, War
52.;A közellenség;1931;83 min;Crime, Drama
53.;Sikersztori;2003;101 min;Biography, Comedy, Drama
54.;Futball faktor;2004;91 min;Crime, Drama, Sport
55.;Hajsza a föld alatt;1974;104 min;Action, Crime, Thriller
56.;Süti, nem süti;2000;94 min;Comedy, Crime
57.;Biznisz;2005;97 min;Crime, Drama, Thriller
58.;Könnyű pénz;1998;96 min;Crime, Drama
59.;Rango;2011;107 min;Animation, Action, Adventure
60.;Transformers;2007;144 min;Action, Adventure, Sci-Fi
61.;Csúcshatás;2011;105 min;Sci-Fi, Thriller
62.;Ponyvaregény;1994;154 min;Crime, Drama
63.;Star Trek;2009;127 min;Action, Adventure, Sci-Fi
64.;Tolvajok városa;2010;125 min;Crime, Drama, Thriller
65.;300;2006;117 min;Action, Drama
66.;Szemtől szemben;1995;170 min;Action, Crime, Drama
67.;Schindler listája;1993;195 min;Biography, Drama, History
68.;Mátrix;1999;136 min;Action, Sci-Fi
69.;Nagymenők;1990;145 min;Biography, Crime, Drama
70.;Közönséges bűnözők;1995;106 min;Crime, Drama, Mystery
71.;Fel!;2009;96 min;Animation, Adventure, Comedy
72.;Meglógtam a Ferrarival;1986;103 min;Comedy
73.;Ip Man: A becsület útján;2008;106 min;Action, Biography, Drama
74.;Bajos csajok;2004;97 min;Comedy
75.;Amerikai pite;1999;95 min;Comedy
76.;Casino Royale;2006;144 min;Action, Adventure, Thriller
77.;Vissza a jövőbe;1985;116 min;Adventure, Comedy, Sci-Fi
78.;A faun labirintusa;2006;118 min;Drama, Fantasy, War
79.;Dumb és Dumber - Dilibogyók;1994;107 min;Comedy
80.;A rettenthetetlen;1995;178 min;Biography, Drama, History
81.;Hold;2009;97 min;Drama, Mystery, Sci-Fi
82.;A Ravasz, az Agy és két füstölgő puskacső;1998;107 min;Action, Comedy, Crime
83.;Sulihuligánok;2003;88 min;Comedy
84.;Trainspotting;1996;93 min;Drama
85.;Gettómilliomos;2008;120 min;Crime, Drama, Romance
86.;Casablanca;1942;102 min;Drama, Romance, War
87.;Kapj el, ha tudsz;2002;141 min;Biography, Crime, Drama
88.;A Bourne-rejtély;2002;119 min;Action, Mystery, Thriller
89.;Testvérbosszú;1999;108 min;Action, Thriller
90.;Betépve;2001;124 min;Biography, Crime, Drama
91.;Halálos iramban - Tokiói hajsza;2006;104 min;Action, Crime, Thriller
92.;Véres gyémánt;2006;143 min;Adventure, Drama, Thriller
93.;Játsz/ma;1997;129 min;Drama, Mystery, Thriller
94.;Dr. Strangelove, avagy rájöttem, hogy nem kell félni a bombától, meg is lehet szeretni;1964;95 min;Comedy, War
95.;Négy oroszlán;2010;97 min;Comedy, Crime, Drama
96.;Börtönvonat Yumába;2007;122 min;Action, Crime, Drama
97.;A Bourne-csapda;2004;108 min;Action, Mystery, Thriller
98.;Szellemirtók;1984;105 min;Action, Comedy, Fantasy
99.;Idétlen időkig;1993;101 min;Comedy, Drama, Fantasy
100.;Gyagyák a gatyában, avagy tudom, kit fűztél tavaly nyáron;2001;97 min;Comedy, Romance
